"open","high","low","close","vwap","count","base_currency","base_issuer","base_volume","counter_currency","counter_issuer","counter_volume","open_time","close_time","start","buy_volume"
"1.0742469","1.9790000","1.0600000","1.8838060","1.3210565","12209","XRP","","7810174.948193001","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","10317682.39926681","2017-12-27T00:03:20Z","2017-12-29T23:56:52Z","2017-12-27T00:00:00Z","1947990.5901927915"
"1.9000125","2.4600000","1.6300000","2.0600000","1.9864819","7621","XRP","","3929715.154187997","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","7806307.91624289","2017-12-30T00:03:42Z","2018-01-01T23:55:50Z","2017-12-30T00:00:00Z","1106068.816150281"
"2.0274920","3.3000000","1.8420000","2.7146970","2.6114633","8147","XRP","","5675250.080582998","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","14820707.475311982","2018-01-02T00:08:51Z","2018-01-04T23:59:00Z","2018-01-02T00:00:00Z","1341513.469993629"
"2.7261209","3.0300000","2.2200000","2.7405701","2.5921984","6537","XRP","","2832231.7685710024","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","7341706.674594801","2018-01-05T00:00:31Z","2018-01-07T23:53:01Z","2018-01-05T00:00:00Z","1261868.0730598497"
"2.7019480","2.7585933","1.5481846","1.9416678","2.1867043","9690","XRP","","6655756.195416008","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","14554170.367441403","2018-01-08T00:00:03Z","2018-01-10T23:59:02Z","2018-01-08T00:00:00Z","2194009.9400852774"
"1.9403818","2.2450038","1.4880000","1.9856508","1.9253305","11010","XRP","","6099114.186677994","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","11742810.499397568","2018-01-11T00:00:21Z","2018-01-13T23:40:02Z","2018-01-11T00:00:00Z","1730227.816756863"
"1.9856727","1.9881581","0.87000000","1.1853941","1.2883416","12252","XRP","","7145596.173261989","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","9205968.6699505","2018-01-14T00:00:02Z","2018-01-16T23:59:41Z","2018-01-14T00:00:00Z","4126896.6451593465"
"1.1705468","1.7270395","0.88441677","1.5405467","1.3073151","22815","XRP","","8422732.12396302","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","11011164.50468824","2018-01-17T00:00:10Z","2018-01-19T23:59:01Z","2018-01-17T00:00:00Z","3062254.981719494"
"1.5201350","1.6250000","1.1357937","1.3466875","1.3319011","10123","XRP","","3428701.967205002","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","4566691.943257851","2018-01-20T00:10:11Z","2018-01-22T23:59:01Z","2018-01-20T00:00:00Z","1409946.3583500304"
"1.3394223","1.4278457","1.1881268","1.3022090","1.3236527","9628","XRP","","2659392.222589002","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","3520111.7537737503","2018-01-23T00:02:40Z","2018-01-25T23:51:51Z","2018-01-23T00:00:00Z","823938.6255436334"
"1.3001169","1.3800937","1.0203000","1.3532398","1.2149354","6306","XRP","","2362355.098918004","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","2870108.913060109","2018-01-26T00:00:11Z","2018-01-28T23:50:00Z","2018-01-26T00:00:00Z","1066019.979563464"
"1.3493960","1.3500000","1.0111000","1.1205257","1.1458271","11169","XRP","","3712708.3732300014","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","4254121.966671678","2018-01-29T00:00:42Z","2018-01-31T23:59:01Z","2018-01-29T00:00:00Z","1337641.5290683517"
"1.1191442","1.1254516","0.63765813","0.95175816","0.86923050","20187","XRP","","9247997.386777023","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","8038641.413753151","2018-02-01T00:00:40Z","2018-02-03T23:58:41Z","2018-02-01T00:00:00Z","4660397.001154863"
"0.95366900","0.96033804","0.51000000","0.76909300","0.71773191","24180","XRP","","11504283.319873992","USD","rvYAfWj5gh67oV6fW32ZzP3Aw4Eubs59B","8256991.220883963","2018-02-04T00:01:20Z","2018-02-06T23:59:30Z","2018-02-04T00:00:00Z","5228089.871147852"
